subject1,subject4,subject5,subject6,subject7
-1.0822006,-0.38809508,-0.017915344,0.9546078,-0.035629272
-0.20693731,-1.3585236,-0.18358764,0.36390838,0.2316062
-1.182257,0.029974079,1.164563,0.18105087,-0.40519103
2.1852539,0.04496956,-0.271766,0.113086894,0.02482376
-1.6585205,0.63024646,0.89278567,2.0892577,0.2533272
0.5665245,0.5745344,-0.5550537,0.2529564,0.33096778
-0.9374275,-0.9168579,-0.33417588,1.0099732,-0.015551758
-0.10119629,-1.3683472,1.2932861,1.261084,-0.9006866
-0.9053528,-0.7157227,-0.2295227,1.8942627,0.4687538
0.37004548,1.243573,0.45976868,-0.037916254,0.52339137
0.010573959,-1.4614502,1.6513916,0.7272003,-2.348999
-0.6035736,-0.49317017,-1.8216919,1.7625,0.19317742
-2.513965,0.4924942,0.5208454,0.24561958,0.26014405
-0.0990715,-0.026686097,-1.5010498,0.92702025,-1.1667831
0.1638153,-0.32759628,0.7465973,0.5042694,-0.5894825
0.033838846,0.37029934,2.1465576,-0.1948944,-2.3532715
1.1686016,-0.3568348,1.2793518,0.08183174,-0.30774918
0.33802873,-0.7691757,-1.0237,0.42064977,-0.45112532
-0.3872612,1.3528875,0.48511067,1.2424622,-0.26865157
0.6224409,-0.53134763,0.8942749,0.97921145,-0.1163096
-0.7868763,-2.0231445,0.42710504,1.2836792,0.57727623
-2.0219727,0.5481232,1.0799316,-0.37029344,-0.27618274
0.5110504,-0.0827194,0.19634743,1.4185425,0.7956711
1.392102,-0.35666087,1.5982482,1.2131592,-0.29465026
0.25324935,0.30422363,0.59649503,0.4059906,-1.3678955
0.3214,-0.010509213,-0.14034767,1.9269898,-1.122174
0.29235038,-0.72676694,-0.55225486,-0.029274274,-0.45020446
0.7805824,-0.3839628,1.0608032,0.69031024,-0.40631407
0.4987648,0.4365692,-0.81792754,0.55808413,0.64036596
-0.21962051,0.6008881,1.5452026,0.4881401,-1.2696762
0.28938255,-0.09485264,-0.101428986,1.2366943,-0.09882355
-2.28855,0.8999817,-0.77455443,1.2256225,0.015707398
0.5847046,0.25258332,1.0065823,2.0398192,-1.184961
-0.47653848,-0.035247244,0.74239504,1.7553467,-1.9553711
-0.39160308,0.051820945,0.10684357,0.63857687,-0.130056
0.3104488,1.0925903,-0.5210487,0.59682685,-0.5477802
0.20823517,-1.492218,0.42325687,0.24726944,-1.3517945
-0.91489565,-0.91049814,-1.2328613,0.5133234,0.9683167
1.2390991,-0.14903244,0.70517576,-0.18572553,-0.06560451
1.4273803,1.2491333,0.8838171,0.44816476,0.023953248
-1.5221558,-1.0977417,1.6358277,2.4200196,0.15879211
0.78145754,-1.3435547,-0.9175293,0.2891012,-1.0027587
-0.7435118,-1.0244179,-0.94970703,-0.10029306,-0.6632164
0.041078188,-0.651358,0.8093201,0.662729,-0.47485963
-0.3765599,0.26478404,-0.70615995,1.2870972,1.8370483
-0.1538147,0.4798134,1.6093994,1.2918015,-0.28989258
1.043164,1.4289551,0.18200989,0.057653047,-0.17792101
0.35949707,1.447818,0.527784,0.38183746,0.87810975
1.6037476,-1.4170166,-0.7416932,0.013960552,0.52713966
2.3706543,-0.040556893,1.453064,-0.19773178,0.19308929
0.6480835,0.40031585,-0.6029419,-0.20858002,-0.28472823
-0.3381874,-0.913047,0.15146713,2.1901612,-0.42411613
0.36660767,-0.6518723,-0.3104332,0.80292356,1.7235107
0.7337471,0.107522584,0.20565876,0.6838638,-1.8210449
1.0698944,0.57423174,-0.39814416,0.2299755,-0.15998697
-1.167627,0.38444385,0.11581192,-0.31554332,-2.0181642
-0.60230714,0.4749733,-0.3725194,2.1273804,-0.81664884
0.5870882,-2.0850844,0.5440033,0.9868286,-1.0378479
0.23098508,0.95298845,-0.20140114,1.5166916,-1.0178559
-0.34470367,-0.68557435,1.3392578,0.94960374,0.5415497
0.25984755,0.25035858,-0.90956116,-0.32429725,-0.8701599
0.1311119,0.660803,0.29251593,1.7390137,-0.50066984
-1.4189942,-1.2311523,1.0344727,0.17440872,-0.88327634
1.0606811,0.85961914,0.5757629,0.22986326,0.039360426
-0.9333374,0.45466653,-0.59420145,1.4973389,1.372937
0.7076111,-0.28650436,1.5378234,1.6496826,-0.14234953
0.9264862,-1.4128784,-0.25816497,-0.1746151,1.7047608
0.3777298,0.12434459,0.025715638,0.9177307,-1.2811401
-0.77260745,0.8821808,0.16385296,0.16465911,0.47589645
